app.default-instance.height.description	The height of the game window when launched.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.height.placeholder	Enter height...	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-allocation.title	Memory allocation	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-allocation.description	Choose how memory is allocated to instances.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-mode.auto	Auto	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-mode.custom	Custom	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-allocated	Memory allocated	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-warning	You are allocating more than 75% of your system memory to Minecraft. This may cause instability. Consider using "Auto" mode.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.memory-auto-hint	Memory will be automatically calculated based on system RAM, instance type, and mod count.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.launch-options.title	Launch options	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.process-priority.title	Process priority	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.process-priority.description	Set the CPU priority of the game process.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.priority.normal	Normal	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.priority.above-normal	Above normal	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.priority.high	High	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.priority.below-normal	Below normal	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.priority.realtime	Realtime	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.ip-protocol.title	IP protocol preference	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.ip-protocol.description	Preferred IP stack for Java networking.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.ip.default	Default	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.ip.prefer-v4	Prefer IPv4	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.ip.prefer-v6	Prefer IPv6	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.window-title.title	Game window title	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.window-title.placeholder	e.g. {name} | Player: {user}	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.window-title.hint	Supports: {user} (username), {name} (instance name), {version} (game version)	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.custom-info.title	Custom info	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.custom-info.placeholder	e.g. MyLauncher	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.custom-info.hint	Displayed in the game's bottom-left corner and F3 debug screen.	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.java-arguments.title	Java arguments	components\ui\settings\DefaultInstanceSettings.vue
app.default-instance.reset-to-default	Reset to default	components\ui\settings\DefaultInstanceSettings.vue
